wl,f171,f491,f609,f283,f792,f23,f406,f883,f452,f972,f719,f517,f251,f315,f143,f923,f603,f305,f512,f309,f948,f502,f382,f903,f969,f73,f46,f833,f764,f886,f12,f359,f560,f300,f899,f454,f696,f423,f2,f811,f979,f690,f158,f52,f752
304.58,0.321,-1.495,-0.11,0.961,2.452,2.288,1.946,-0.188,0.619,0.716,2.598,1.131,2.491,1.925,2.56,0.993,28.369,1.935,8.177,4.391,-0.304,4.382,0.862,1.399,2.823,1.243,2.348,1.473,38.629,6.426,3.473,2,2.758,2.527,4.295,1.517,2.741,14.759,2.925,1.314,0.659,1.558,1.653,0.39,2.485
304.96,0.401,-1.54,-0.229,0.894,2.299,2.195,1.927,-0.016,0.701,0.736,2.696,1.2,2.296,1.941,2.59,1.147,28.753,2.085,8.132,4.361,-0.221,4.286,0.786,1.046,2.783,1.351,2.076,1.278,38.999,6.51,3.693,2.093,2.809,2.483,4.232,1.494,2.714,14.954,2.94,1.388,0.655,1.612,1.779,0.211,2.707
305.34,0.345,-1.438,0.013,0.851,2.372,2.369,2.08,-0.138,0.878,0.569,2.597,1.136,2.303,1.786,2.813,1.246,29.346,2.125,8.411,4.322,-0.092,4.494,1.006,0.817,2.979,1.273,1.832,1.371,39.366,6.342,3.763,1.838,2.807,2.433,4.127,1.878,2.833,15.111,2.84,1.348,0.552,1.707,1.622,0.098,2.833
305.71,0.339,-1.37,0.085,1.178,2.708,2.538,2.14,-0.348,0.967,0.763,2.745,1.045,2.476,1.866,2.695,1.168,29.924,2.3,8.607,4.365,-0.225,4.35,0.919,0.774,2.955,1.312,1.859,1.227,39.486,6.261,3.763,1.732,2.807,2.469,4.111,1.858,2.871,15.335,2.868,1.326,0.679,1.501,1.675,0.073,2.981
306.09,0.44,-1.242,-0.007,1.13,2.646,2.594,1.893,-0.32,0.853,0.725,2.888,1.195,2.767,1.87,2.766,1.449,30.342,2.085,8.942,4.668,-0.733,4.591,1.274,0.807,2.923,1.305,1.941,1.41,40.01,6.233,3.829,1.472,2.637,2.42,4,1.701,2.726,15.484,2.838,1.486,0.764,1.536,1.61,-0.036,3.03
306.47,0.386,-1.246,-0.186,1.178,2.474,2.724,1.965,-0.373,0.719,0.818,2.999,1.358,2.841,1.977,2.729,1.483,30.674,2.007,9.169,4.438,-0.563,4.506,1.157,0.733,3.02,1.369,2.411,1.807,40.248,6.084,3.995,1.38,2.363,2.335,3.882,1.696,2.677,15.757,2.62,1.449,0.784,1.542,1.573,0.113,2.842
306.84,0.438,-1.339,-0.264,1.152,2.42,2.849,2.013,-0.511,0.561,0.722,3.088,1.317,2.829,2.064,2.846,1.498,31.05,2.139,9.65,4.256,-0.502,4.552,1.001,0.718,3.254,1.574,2.551,1.742,40.776,6.191,3.797,1.46,2.348,2.332,3.89,1.76,2.606,15.863,2.718,1.501,0.787,1.68,1.528,0.113,2.754
307.22,0.69,-1.38,-0.183,0.895,2.073,2.718,1.886,-0.287,0.647,0.65,2.867,1.46,2.947,2.286,2.601,1.129,31.267,2.209,9.945,4.278,-0.577,4.597,1.171,0.845,3.202,1.669,2.595,1.795,41.205,5.998,3.749,1.622,2.552,2.562,3.909,1.641,2.509,16.078,2.587,1.589,0.705,1.843,1.654,0.124,2.702
307.6,0.631,-1.449,-0.059,0.879,1.987,2.605,1.758,-0.62,0.642,0.555,2.8,1.339,3.048,2.277,2.6,1.008,31.554,2.371,10.18,4.063,-0.63,4.527,0.867,0.876,3.301,1.725,2.509,1.779,41.476,5.845,3.761,1.708,2.55,2.389,3.854,1.707,2.584,16.287,2.566,1.633,0.78,1.939,1.578,0.074,2.581
307.97,0.699,-1.494,-0.274,0.647,1.908,2.785,1.788,-0.588,0.457,0.488,2.893,1.292,3.02,2.223,2.488,0.947,31.979,2.477,10.384,4.03,-0.441,4.548,0.681,0.839,3.171,1.536,2.542,1.934,41.828,5.596,3.41,1.839,2.648,2.453,3.956,1.91,2.676,16.548,2.623,1.558,0.704,1.87,1.581,0.079,2.436
308.35,0.722,-1.532,-0.231,0.63,1.796,2.954,2.05,-0.62,0.372,0.451,2.956,1.312,3.165,2.258,2.537,1.075,32.277,2.564,10.63,3.821,-0.584,4.391,0.535,1.011,3.106,1.598,2.502,1.913,42.011,5.55,3.401,1.774,2.624,2.413,3.866,1.785,2.498,16.732,2.683,1.495,0.666,1.954,1.496,0.139,2.284
308.73,0.724,-1.608,-0.215,0.644,1.771,3.169,2.09,-0.72,0.47,0.692,2.837,1.481,3.173,2.334,2.642,0.977,32.371,2.622,10.773,3.959,-0.478,4.471,0.603,0.901,3.15,1.745,2.475,1.87,42.169,5.495,3.307,1.869,2.642,2.481,4.013,1.734,2.574,17.117,2.668,1.602,0.525,1.754,1.548,0.09,2.24
309.1,0.613,-1.624,-0.255,0.624,1.769,3.097,1.966,-0.555,0.517,0.681,2.756,1.617,3.375,2.369,2.714,1.021,32.72,2.784,11.147,3.827,-0.587,4.519,0.563,0.659,2.925,1.8,2.422,1.818,42.322,5.66,3.355,1.762,2.608,2.259,4.079,1.513,2.532,17.228,2.679,1.499,0.472,1.816,1.684,0.23,2.345
309.48,0.637,-1.551,-0.409,0.675,1.839,3.013,2.011,-0.667,0.576,0.865,2.888,1.693,3.355,2.162,2.831,1.119,32.946,2.646,11.355,3.795,-0.49,4.498,0.621,0.813,3.147,1.755,2.287,1.787,42.18,5.681,3.41,1.813,2.397,2.308,4.039,1.7,2.45,17.236,2.822,1.498,0.42,1.749,1.51,0.348,2.314
309.85,0.493,-1.685,-0.641,0.773,1.972,2.597,1.844,-0.677,0.69,0.975,3.058,1.48,3.239,2.059,2.64,0.995,33.259,2.841,11.678,3.818,-0.197,4.522,0.658,0.951,2.89,1.506,2.457,1.765,42.193,5.646,3.442,1.892,2.426,2.331,3.734,1.541,2.381,17.358,2.944,1.413,0.361,1.7,1.446,0.132,2.26
310.23,0.53,-1.613,-0.486,0.635,1.965,2.692,1.933,-0.668,0.562,1.082,3.078,1.401,3.078,2.115,2.617,0.874,33.342,3.085,11.951,3.755,-0.238,4.473,0.694,0.933,2.855,1.613,2.548,1.835,42.185,5.589,3.436,1.912,2.443,2.212,3.787,1.521,2.313,17.381,2.9,1.394,0.297,1.75,1.539,0.123,2.148
310.61,0.548,-1.699,-0.498,0.714,2.149,2.926,1.826,-0.859,0.79,1.153,3.251,1.601,3.167,2.167,2.584,0.919,33.339,2.975,12.083,3.533,-0.11,4.222,0.547,1.083,2.886,1.514,2.461,1.711,42.256,5.804,3.508,2.073,2.535,2.435,3.77,1.478,2.289,17.468,2.858,1.438,0.076,1.53,1.621,0.202,2.233
310.98,0.627,-1.563,-0.473,0.695,2.223,2.95,1.816,-0.756,0.903,1.237,3.304,1.76,3.122,1.961,2.522,1.122,33.527,3.126,12.124,3.349,-0.033,4.092,0.389,1.023,3.086,1.488,2.494,1.674,42.559,5.804,3.621,2.126,2.622,2.354,3.848,1.679,2.311,17.65,2.746,1.37,-0.12,1.569,1.487,0.223,2.296
311.36,0.747,-1.498,-0.477,0.623,2.148,2.946,2.006,-0.776,0.561,1.136,3.293,1.739,3.018,1.99,2.648,1.152,33.654,3.268,12.284,3.208,0.111,4.031,0.484,1.019,3.029,1.395,2.583,1.633,42.611,5.714,3.78,1.955,2.602,2.184,3.656,1.736,2.182,17.722,2.822,1.397,-0.129,1.655,1.491,0.185,2.239
311.74,0.811,-1.443,-0.549,0.531,2.188,2.865,2.121,-0.525,0.344,1.18,3.219,1.622,3.193,2.085,2.735,1.125,34.036,3.482,12.413,3.1,0.031,3.923,0.399,0.853,3.108,1.271,2.849,1.661,42.812,5.8,3.807,1.73,2.487,2.003,3.627,1.787,2.253,17.804,2.771,1.526,-0.089,1.815,1.498,0.167,2.19
312.11,0.805,-1.493,-0.666,0.526,2.24,2.802,1.938,-0.711,0.54,1.17,3.26,1.515,3.273,2.185,2.699,1.032,34.124,3.361,12.303,3.038,0.169,3.7,0.352,0.791,3.183,1.276,2.823,1.527,43.026,5.733,3.604,1.717,2.503,2.161,3.671,1.917,2.253,18.031,2.926,1.595,-0.118,1.847,1.441,0.108,2.281
312.49,0.494,-1.513,-0.622,0.453,2.317,2.772,1.675,-0.73,0.429,1.093,3.324,1.368,3.222,2.184,2.516,0.815,34.119,3.28,12.281,2.906,0.263,3.716,0.44,0.753,3.224,1.257,3.004,1.526,43.092,5.763,3.793,1.903,2.556,2.32,3.848,1.842,2.274,18.065,2.872,1.628,-0.022,1.701,1.326,0.348,2.254
312.86,0.216,-1.454,-0.881,0.257,1.843,2.64,1.566,-0.808,0.237,1.177,3.37,1.287,3.414,2.142,2.545,0.836,34.435,3.431,12.562,2.803,0.143,3.786,0.575,0.89,3.052,0.908,3.027,1.548,43.291,5.645,3.678,1.967,2.449,2.313,3.708,1.689,2.055,18.095,2.901,1.643,0.045,1.607,1.229,0.51,2.122
313.24,0.374,-1.443,-0.792,0.417,1.944,2.785,1.712,-1.011,0.082,1.124,3.423,1.024,3.368,2.064,2.583,1.012,34.478,3.323,12.61,2.829,-0.02,3.541,0.275,0.782,2.804,0.683,3.166,1.648,43.424,5.722,3.62,2.044,2.367,2.294,3.66,1.639,1.931,18.207,2.919,1.581,-0.024,1.638,1.216,0.559,1.905
313.62,0.52,-1.508,-0.538,0.623,2.093,2.481,1.557,-0.957,0.101,0.951,3.223,1.014,3.045,1.775,2.683,1.1,34.549,3.376,12.924,2.668,0.046,3.54,0.33,0.837,2.934,0.85,3.188,1.736,43.357,5.679,3.528,1.997,2.552,2.231,3.558,1.442,1.805,18.242,2.748,1.547,-0.081,1.676,1.107,0.644,1.583
313.99,0.358,-1.836,-0.333,0.4,2.099,2.612,1.505,-0.767,0.343,0.918,3.373,0.693,2.888,1.849,2.678,0.939,34.664,3.619,13.063,2.511,0.314,3.445,0.198,0.727,2.928,0.772,3.251,1.601,43.429,5.553,3.42,2.078,2.527,2.171,3.678,1.553,1.884,18.344,2.557,1.404,-0.282,1.621,1.108,0.69,1.467
314.37,0.262,-1.73,-0.359,0.409,2.38,2.614,1.601,-0.835,0.442,0.903,3.42,0.579,3.048,1.79,2.587,0.802,34.611,3.47,12.995,2.462,0.32,3.25,0.08,0.784,2.888,0.532,3.171,1.581,43.636,5.537,3.157,2.411,2.841,2.349,3.767,1.715,1.952,18.306,2.748,1.328,-0.274,1.51,1.231,0.663,1.564
314.75,0.118,-1.464,-0.53,0.456,2.528,2.746,1.613,-0.82,0.283,0.867,3.566,0.516,2.764,1.59,2.585,0.917,34.759,3.535,12.929,2.566,0.355,3.288,0.19,0.776,2.733,0.246,3.147,1.608,43.749,5.275,3.058,2.569,2.926,2.397,3.83,1.576,2.082,18.472,2.591,1.287,-0.36,1.341,1.263,0.658,1.541
315.12,0.215,-1.436,-0.462,0.302,2.304,2.576,1.536,-0.611,0.451,0.923,3.442,0.355,2.541,1.342,2.63,1.04,34.728,3.534,12.881,2.396,0.359,3.232,0.031,0.789,2.795,-0.005,3.219,1.682,43.599,5.368,2.889,2.657,2.962,2.513,3.639,1.687,1.929,18.275,2.558,1.475,-0.365,1.11,1.235,0.646,1.517
315.5,0.081,-1.195,-0.553,0.348,2.448,2.535,1.425,-0.624,0.418,0.873,3.402,0.323,2.687,1.428,2.407,0.983,34.651,3.506,12.863,2.576,0.355,3.203,0.323,0.649,2.874,0.109,3.195,1.606,43.684,5.321,2.707,2.631,2.957,2.719,3.48,1.606,1.728,18.176,2.432,1.376,-0.376,1.141,1.185,0.476,1.487
315.87,0.205,-1.293,-0.592,0.171,2.331,2.723,1.567,-0.475,0.491,0.659,3.205,0.26,2.349,1.418,2.408,0.964,34.611,3.483,12.797,2.599,0.411,3.239,0.367,0.784,2.944,0.094,3.25,1.388,43.653,5.338,2.797,2.617,2.978,2.846,3.695,1.715,1.842,18.074,2.339,1.38,-0.435,1.058,1.055,0.61,1.472
316.25,-0.218,-1.463,-0.568,-0.118,2.296,2.755,1.649,-0.565,0.427,0.76,3.117,0.161,2.251,1.321,2.446,1.258,35.02,3.325,13.023,2.921,0.419,3.518,0.495,0.546,3.164,0.061,3.358,1.341,43.692,5.182,2.686,2.724,3.257,3.008,3.942,1.978,2.187,18.011,2.277,1.612,-0.441,0.806,1.134,0.563,1.431
316.62,-0.368,-1.231,-0.509,-0.08,2.398,2.657,1.464,-0.263,0.919,0.755,3.201,0.219,2.039,0.984,2.477,1.384,35.373,3.319,13.267,2.914,0.226,3.597,0.794,0.682,3.083,-0.046,3.281,1.163,43.799,5.039,3.008,2.694,3.359,2.867,3.843,2.066,2.226,17.649,2.329,1.52,-0.28,0.795,1.176,0.608,1.463
317,-0.075,-1.012,-0.612,-0.042,2.589,2.809,1.428,-0.47,0.995,0.892,3.065,0.177,2.121,1.043,2.243,1.344,35.465,3.279,13.295,3.137,0.283,3.623,0.905,0.638,3.387,0.044,3.315,1.319,43.964,4.826,3.073,3.062,3.633,3.317,3.703,2.255,2.187,17.504,2.212,1.756,-0.203,0.706,1.217,0.658,1.473
317.38,-0.152,-0.857,-0.704,-0.008,2.605,2.861,1.405,-0.495,1.267,0.875,2.867,-0.145,2.221,1.412,2.116,1.235,35.665,3.373,13.164,2.962,0.082,3.622,0.908,0.463,3.23,0.35,3.382,1.148,44.471,4.595,2.98,2.974,3.665,3.251,3.8,2.239,2.431,17.565,2.083,1.826,-0.159,0.609,1.328,0.492,1.429
317.75,-0.225,-0.776,-0.711,0.021,2.481,2.661,1.336,-0.198,1.03,0.806,2.495,-0.046,2.369,1.508,2.078,1.218,35.468,3.247,12.902,3.081,-0.098,3.673,0.935,0.334,3.348,0.302,3.154,1.09,44.764,4.592,2.895,2.873,3.696,3.334,4.128,2.472,2.75,17.494,1.899,2.015,-0.287,0.617,1.344,0.774,1.408
318.13,-0.02,-0.688,-0.674,-0.002,2.388,2.654,1.091,-0.448,0.985,0.552,2.392,0.319,2.033,1.366,2.09,1.399,35.561,3.026,12.598,2.734,-0.105,3.426,0.685,0.213,3.09,0.191,3.343,1.214,44.916,4.417,2.622,2.931,3.706,3.387,4.029,2.596,2.936,17.355,1.954,1.979,-0.1,0.589,1.473,0.801,1.322
318.5,0.115,-0.411,-0.365,-0.545,2.134,2.874,1.337,-0.241,0.942,0.669,2.191,-0.053,2.073,1.302,2.048,1.419,35.699,2.905,12.665,2.897,-0.139,3.53,0.924,0.086,2.827,0.17,3.348,1.105,45.027,4.171,2.58,2.733,3.685,3.361,4.251,2.859,3.1,17.37,1.783,2.142,0.008,0.741,1.224,0.825,1.092
318.88,0.222,-0.693,-0.587,-0.533,2.299,3.112,1.283,-0.175,0.872,0.655,2.148,-0.33,2.207,1.575,2.055,1.248,35.847,2.823,12.961,3.141,-0.341,3.629,1.162,-0.041,2.708,0.219,3.363,1.086,45.138,3.975,2.231,2.77,3.732,3.496,4.247,2.573,3.051,17.407,1.754,2.236,0.145,0.586,1.377,0.586,1.074
319.25,0.316,-0.605,-0.504,-0.422,2.376,3.095,1.087,-0.004,0.673,0.834,2.008,-0.219,2.151,1.413,2.026,1.457,36.072,2.965,12.978,3.381,-0.329,3.751,1.197,-0.081,2.941,0.337,3.326,1.342,45.17,3.734,2.034,2.898,3.513,3.52,4.322,2.361,3.157,17.597,1.69,2.245,0.152,0.645,1.38,0.333,1.067
319.63,0.323,-0.705,-0.814,-0.245,2.315,3.036,1.09,0.245,1.036,1.069,2.046,-0.062,2.372,1.609,1.834,1.394,36.11,2.866,13.107,3.279,-0.002,3.834,1.143,-0.03,2.663,0.336,2.918,1.142,45.016,3.938,2.144,2.971,3.507,3.592,4.256,2.263,2.979,17.6,1.792,2.174,0.03,0.682,1.442,0.265,1.03
320.01,0.624,-0.758,-0.683,-0.036,2.684,2.885,1.18,0.348,1.149,0.738,2.203,0.072,2.288,1.558,1.686,1.26,36.243,2.835,13.286,3.445,-0.269,4.166,1.37,-0.021,2.782,0.502,2.831,1.145,44.692,4.364,2.497,2.898,3.192,3.403,3.949,2.003,2.812,17.393,1.861,2.068,0.087,0.787,1.423,0.253,0.897
320.38,0.765,-0.859,-0.675,-0.141,2.524,2.851,1.321,0.619,1.164,0.709,2.173,0.174,2.332,1.246,1.763,1.447,36.312,2.951,13.381,3.696,-0.35,4.017,1.4,0.048,2.967,0.463,2.529,1.305,44.517,4.25,2.213,2.599,3.107,3.187,3.829,2.027,2.84,17.395,1.773,1.919,-0.001,0.945,1.58,0.218,0.913
320.76,0.979,-0.688,-0.86,-0.283,2.479,2.963,1.454,0.423,1.369,1.11,1.998,0.031,2.18,1.41,1.563,1.399,36.194,2.773,13.398,3.774,-0.29,3.952,1.386,0.195,3.372,0.921,2.652,1.238,44.391,4.391,2.305,2.569,3.181,3.275,3.951,2.125,2.905,17.309,1.797,1.874,0.06,0.955,1.557,0.119,1.032
321.13,0.79,-0.868,-1.269,-0.06,2.646,2.858,1.411,0.331,1.123,1.195,1.967,0.358,2.275,1.776,1.746,1.303,35.978,2.848,13.52,3.932,-0.382,3.968,1.702,0.19,3.452,0.958,2.584,1.176,44.532,4.507,2.21,2.716,3.237,3.342,4.097,2.122,2.908,17.364,1.923,1.991,0.233,1.003,1.47,0.149,1.236
321.51,0.684,-1.04,-1.222,-0.071,2.559,2.892,1.364,0.192,1.28,1.186,2.312,0.145,2.733,2.063,1.753,1.287,35.957,2.803,13.795,4.164,-0.564,4.159,1.911,0.12,3.383,0.775,2.478,1.259,44.772,4.525,2.326,2.622,2.89,3.31,4.097,2.356,2.957,17.563,2.125,1.952,0.353,1.029,1.544,0.06,1.412
321.88,0.958,-1.033,-1.045,0.016,2.647,2.708,1.358,0.33,1.251,1.085,2.177,0.436,2.775,2.059,1.562,1.244,36.073,2.573,13.839,4.093,-0.613,3.932,1.973,0.219,3.264,0.871,2.37,1.293,44.819,4.52,2.356,2.566,2.954,3.381,4.265,2.521,3.179,17.519,2.13,2.009,0.504,1.207,1.648,0.028,1.33
322.26,0.889,-0.958,-0.997,0.105,2.921,2.718,1.432,0.002,1.413,1.086,2.209,0.402,2.828,2.189,1.632,1.293,35.994,2.698,13.911,4.217,-0.735,4.276,2.148,0.374,3.064,0.83,2.311,1.323,45.026,4.586,2.603,2.274,2.731,3.213,4.382,2.271,3.132,17.489,1.975,2.116,0.388,1.39,1.637,-0.132,1.345
322.63,0.854,-1.257,-0.874,0.065,2.744,2.686,1.329,0.073,1.52,0.912,2.086,0.507,3.312,2.222,1.592,1.354,35.88,2.634,14.076,4.03,-0.927,4.172,1.935,0.13,3.044,0.86,2.419,1.257,45.091,4.648,2.557,1.989,2.664,3.117,4.161,2.244,3.026,17.44,2.088,2.219,0.4,1.351,1.536,-0.042,1.246
323.01,0.683,-1.121,-0.906,0.308,2.902,2.52,1.313,0.154,1.611,0.956,2.107,0.593,3.477,2.323,1.897,1.477,36.246,2.954,14.185,4.196,-0.913,4.27,2.121,0.096,2.988,1.014,2.382,1.347,45.26,4.863,2.639,1.64,2.502,2.935,4.472,2.302,3.299,17.461,2.106,2.011,0.327,1.467,1.44,0.062,1.192
323.38,0.692,-1.441,-1.099,0.265,2.699,2.608,1.233,0.217,1.9,0.932,2.284,0.527,3.424,2.441,2.194,1.695,36.495,2.992,14.263,4.088,-0.713,4.157,2.063,-0.118,2.841,0.942,2.408,1.462,45.416,4.813,2.751,1.454,2.406,2.8,4.592,2.189,3.361,17.624,2.201,2.043,0.283,1.185,1.33,0.152,1.214
323.76,0.625,-1.418,-0.997,0.204,2.723,2.822,1.33,0.053,1.784,0.857,2.53,0.607,3.721,2.464,2.262,1.813,36.42,2.852,14.404,3.8,-1.045,4.08,2.112,-0.095,2.761,0.937,2.282,1.632,45.391,5.024,3,1.404,2.363,2.67,4.341,2.209,3.281,17.727,2.265,2.139,0.329,1.257,1.355,0.082,1.311
324.13,0.611,-1.183,-0.893,0.504,2.568,2.797,1.126,0.241,1.866,0.614,2.494,0.677,3.546,2.472,2.186,1.649,36.294,3.037,14.097,3.751,-1.118,4.031,2.206,-0.005,2.703,0.978,2.175,1.405,45.468,5.206,3.125,1.458,2.373,2.747,4.391,2.114,3.257,17.738,2.284,2.096,0.334,1.309,1.448,0.015,1.275
324.51,0.878,-1.248,-1.095,0.823,2.626,2.543,1.249,0.195,1.624,0.588,2.679,0.663,3.635,2.705,2.154,1.56,36.448,2.981,14.126,3.48,-0.861,3.895,2.075,-0.014,2.752,1.082,2.118,1.573,45.63,5.252,2.964,1.45,2.556,2.944,4.333,2.085,3.031,17.885,2.128,2.13,0.376,1.451,1.411,-0.087,1.204
324.88,0.672,-1.204,-1,0.657,2.537,2.348,1.046,0.013,1.854,0.8,2.958,0.56,3.493,2.506,2.246,1.345,36.396,3.117,14.113,3.406,-0.847,4.02,2.016,-0.007,2.585,0.713,1.937,1.614,45.601,5.427,2.82,1.261,2.404,2.748,4.665,2.151,3.162,17.819,2.298,1.901,0.505,1.41,1.291,-0.164,1.174
325.26,0.712,-1.238,-0.893,0.457,2.496,2.251,1.2,0.123,1.639,0.855,3.18,0.497,3.495,2.576,2.176,1.335,36.484,3.323,14.482,3.479,-0.615,3.855,2.204,0.175,2.501,0.489,1.883,1.652,45.608,5.508,2.965,1.116,2.356,2.664,4.564,1.976,2.889,17.821,2.388,1.878,0.35,1.382,1.404,0.025,1.106
325.63,0.717,-1.122,-1.039,0.803,2.865,2.082,0.917,-0.073,1.763,0.913,3.527,0.498,3.226,2.399,2.534,1.689,36.375,3.472,14.555,3.352,-0.61,3.556,2.024,0.388,2.676,0.737,2.136,1.659,45.651,5.392,3.06,1.08,2.047,2.471,4.66,1.838,2.519,17.861,2.442,1.856,0.441,1.42,1.462,-0.21,0.959
326.01,0.539,-1.081,-1.024,0.659,2.617,1.996,0.913,-0.037,2.125,0.875,3.425,0.239,3.511,2.452,2.653,1.772,36.296,3.535,14.775,3.448,-0.381,3.672,2.015,0.459,2.815,0.844,1.779,1.479,45.669,5.19,3.09,0.923,1.945,2.48,4.5,1.62,2.33,18.01,2.524,1.818,0.395,1.381,1.383,-0.174,0.909
326.38,0.441,-1.081,-1,0.663,2.49,2.141,1.119,-0.058,2.395,0.874,3.459,0.458,3.432,2.141,2.711,1.738,36.352,3.752,14.78,3.317,-0.3,3.541,1.812,0.434,2.828,0.744,1.828,1.574,45.588,5.046,2.972,0.827,1.919,2.536,4.547,1.515,2.383,17.986,2.488,1.608,0.414,1.189,1.475,-0.186,0.995
326.76,0.397,-1.108,-0.894,0.492,2.439,1.959,1.115,-0.16,2.446,0.699,3.491,0.358,3.55,1.973,2.73,1.661,36.328,3.703,14.598,3.131,-0.158,3.453,1.75,0.644,2.724,0.869,1.824,1.5,45.615,5.046,3.066,0.91,1.878,2.607,4.338,1.473,2.354,17.836,2.384,1.613,0.374,1.273,1.359,0.049,0.817
